,precision,recall,f1-score,support
0,0.8723897911832946,0.9894736842105263,0.9272503082614056,380.0
1,0.6,0.09836065573770492,0.16901408450704225,61.0
accuracy,0.8662131519274376,0.8662131519274376,0.8662131519274376,0.8662131519274376
macro avg,0.7361948955916473,0.5439171699741157,0.548132196384224,441.0
weighted avg,0.8347122917225669,0.8662131519274376,0.8223695607579676,441.0
